,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health,quality_of_life_index
"Chandler, AZ",36708.339727957995,20020.225327958004,33708.60612795801,31599.070127958003,15703.052527958003,3400.8973279580023,31621.935727958007,4683.212527958003,6372.3157279580055,25499.118127958,-974.9154720419937,5496.788527958008,-7642.302672041995,-5461.5282720419955,-6258.251472041997,-3815.3074720419972,2908.3677279580047,-7904.472272041996,4437.646927958005,5658.010927958003,2002.7197279580068,505.4381279580048,26652.152272042003,381.8250000000001,2262,0.0
"Chapel Hill, NC",51669.21171216,23133.359212160005,35315.34921216,28783.85171216,18687.606712160006,6661.304212160001,19660.27421216,6511.4392121599985,6631.476712160005,18306.39671216,-4269.745787839998,4455.414212160002,-9513.61328784,-5989.290787839997,-7691.458287839996,-4337.600787839998,2267.5042121600013,-2643.708287839996,5638.739212160006,5687.9092121600015,446.17671216000235,-1519.9632878399968,25908.87078784,507.5,2165,0.0
"Charleston, SC",28096.848433703017,7971.178433703004,16304.448433703008,20256.30843370301,8562.608433703012,-5182.991566296994,6509.998433703005,-85.19156629699138,-2852.4715662969897,8606.628433703001,-12326.231566296992,-4602.071566296992,-17659.271566296993,-15175.811566296994,-16959.43156629699,-13892.77156629699,-7268.591566296994,-6793.121566296993,-3051.7315662969922,-3780.7415662969934,-4551.851566296995,-9667.811566296994,33507.731566296985,476.56285716,2342,0.0
"Charleston, WV",33993.277649064,20693.132649064,25034.327649064,30330.332649064,17123.372649063997,8537.157649063996,20559.932649063998,10575.692649064,9455.657649063996,18559.772649063998,32.68264906399781,5006.777649063994,-4279.7073509360025,-2214.987350936004,-4409.067350936002,-2534.187350936001,3168.107649063997,2592.7926490639984,10449.692649064,10769.947649063997,8012.777649063995,4241.9176490639975,21458.547350936,610.00000004,2185,0.0
"Charlotte, NC",44907.718199519004,16371.865699519003,28553.855699518997,22022.358199519,11926.113199518999,-100.18930048100084,12898.780699518997,-250.05430048100243,-130.01680048099658,11544.903199518994,-11031.239300481,-2306.0793004810002,-16275.106800481,-12750.784300480998,-14452.951800480998,-11099.094300481001,-4493.989300481,-9405.201800480998,-1122.7543004809959,-1073.5843004810013,-6315.3168004809995,-8281.456800480999,32670.364300481,528.0,2165,188.28723428692388
"Charlottesville, VA",59575.409805242976,27616.974805242982,40909.282305242974,29649.612305242983,27549.782305242985,4546.104805242987,36421.00980524298,7868.882305242983,9206.229805242989,17255.602305242985,-5289.762694757013,1610.5873052429815,-12185.602694757017,-8725.345194757017,-10679.605194757012,-7786.050194757012,124.75480524298108,-3276.282694757017,919.1548052429823,5296.782305242985,-822.7651947570157,-2235.820194757016,29472.08519475701,954.0,2472,0.0
"Chattanooga, TN",34271.063705648994,17888.183705649,27340.303705649,25964.703705649,16410.743705648998,3448.183705648997,27911.063705648998,7967.143705648991,4221.863705648993,15519.263705648997,-4114.196294351004,1892.9037056489944,-10510.876294351003,-7122.476294351003,-9360.196294351004,-5706.9162943510055,866.9237056489948,-4273.296294351007,5590.903705648994,5089.783705648992,1167.0637056489975,-655.2762943510061,27496.736294351005,481.32,2208,0.0
"Cherry Hill, NJ",67033.306079748,30053.111279748,40960.352579747996,34828.734779747996,32150.068679747998,10600.472579748,36462.25457974799,15386.391379747998,12262.934379747996,30620.420879748,-1412.5138202519993,4822.439479747998,-6416.738820252002,-1865.3263202519995,-4038.8263202520034,-1226.213820252,2095.9036797480003,-4500.263820251999,14932.004479748,11286.038779748,2858.4736797479964,770.473679748,26965.801320252,327.99999996,2737,0.0
"Chesapeake, VA",63229.30937914999,31270.874379149984,44563.18187914998,33303.511879149984,31203.681879149994,8200.004379149996,40074.90937914998,11522.781879149992,12860.129379149996,20909.501879149993,-1635.8631208500046,5264.486879149989,-8531.703120850008,-5071.445620850009,-7025.7056208500035,-4132.150620850003,3778.65437914999,377.6168791499913,4573.054379149991,8950.681879149994,2831.1343791499935,1418.0793791499927,25818.18562085001,565.75000004,2472,0.0
"Cheyenne, WY",48724.94592554999,26366.28592555,26895.90592555,36372.12592555,22531.02592555,15894.78592555,28604.88592555,16079.64592555,12204.665925549998,29029.98592555,5568.585925549996,12123.485925549998,-2406.8540744500024,3224.265925549997,816.5859255499962,2183.2259255499994,9415.945925549997,4736.105925549997,16858.085925549996,20596.62592555,18213.72592555,11080.625925549995,21553.01407445,430.00000004,2172,0.0
"Chicago, IL",32852.64348265502,11166.925982655004,23044.190982655004,20545.81548265501,9348.711482655002,-5658.680517344994,24849.57148265501,-1269.836517344993,-3869.686017344997,10686.256982655004,-14307.520017344996,-5643.340017344995,-20116.867517345,-14427.112017344993,-18229.141017345,-14418.807017344996,-8044.719517344994,-12872.416017344995,11347.35948265501,-2539.445517344997,-9189.979017344996,-11573.514017344994,37964.312517345,662.29934784,2473,156.89721590721228
"Chula Vista, CA",44361.64197484299,17462.498974842994,34158.54297484299,30069.165974843,18699.098974843,757.9879748429958,36196.89497484299,4430.8879748430045,6416.225974843001,23742.670974843008,-6096.572025156998,-761.0120251569971,-13589.352025156999,-9492.672025156995,-13761.552025156998,-8853.432025156999,-6469.7520251569995,-14401.632025157,3696.5879748430016,470.28797484299866,-7876.792025156996,-8441.772025156995,34785.912025157,459.99999996,2121,0.0
"Cincinnati, OH",43718.122383957016,21353.06838395701,32017.566083957012,29970.972283957006,19298.27628395701,5911.942983957008,23507.730683957,12236.558783957009,3645.729083957009,19083.629883957008,-4392.18901604299,3985.6149839570026,-9569.386316042994,-5529.040116042995,-7418.406716042996,-4147.3026160429945,2701.863883957005,-2240.0797160429943,8840.226683957011,6716.86698395701,4267.266183957006,-184.90461604299344,26811.198816042997,373.56272724,2332,0.0
"Cleveland, OH",42828.584244761005,20463.530244761005,31128.027944761005,29081.434144761002,18408.73814476101,5022.404844761004,22618.192544761,11347.020644761009,2756.190944761005,18194.091744761008,-5281.727155238994,3096.076844760999,-10458.924455238997,-6418.5782552389965,-8307.944855238999,-5036.840755238998,1812.3257447610013,-3129.617855238997,7950.688544761006,5827.3288447610075,3377.728044761003,-1074.442755238997,27700.736955238997,521.99999996,2332,0.0
"Coeur d'Alene, ID",28688.152847997997,18467.576147998,25698.237947997997,32709.293447998,13619.891447997998,6871.794947997998,22576.132847997997,6789.2627479979965,4762.5127479979965,22122.706247997998,567.1402479979987,5299.726547997998,-6771.316152002004,-2810.2359520020036,-4536.216252002003,-1750.6510520020056,3328.384447997996,-2968.322452002001,4992.704147997996,6827.731547997999,4053.1502479979968,3461.339247997996,22767.237852002003,586.75,1839,0.0
"Columbia, MD",52042.562181666,23481.934681666,36965.112181666,33674.074681666,26593.962181666,2413.037181665997,17453.459681665998,9699.947181665992,6550.1971816659925,21945.149681666,-6861.467818334,868.1946816659984,-14774.380318334002,-10501.157818334004,-12753.902818334,-10004.987818334,-1209.6253183340013,-4609.555318333998,785.4221816659993,3995.969681665993,-3119.380318334003,-3846.985318334002,33281.687818334,360.0,2479,0.0
"Columbia, MO",43204.995795883005,22588.545795882997,32902.101795883,30908.505795882997,15149.949795883003,7856.8617958829955,27607.383795882997,8390.889795882998,8129.529795882994,18592.641795883,-2348.368204117,6735.153795883,-7268.850204116999,-3266.0542041170006,-5568.942204116999,-2502.004204117002,4058.087795882999,906.0717958829993,13342.209795882998,7173.387795882998,4899.781795882998,3004.937795882997,23880.536204117,548.5999999999998,2267,0.0
"Columbia, SC",36292.40683424101,16166.736834240995,24500.006834241,28451.866834241002,16758.166834241005,3012.566834240999,14705.556834240997,8110.366834241002,5343.086834241003,16802.186834240994,-4130.673165758999,3593.486834241001,-9463.713165758998,-6980.253165759002,-8763.873165758996,-5697.213165758996,926.9668342410004,1402.4368342410016,5143.826834241001,4414.816834240999,3643.7068342409984,-1472.253165759001,25312.173165759,425.125,2342,0.0
"Columbus, GA",48029.21463995799,22951.047139957987,34435.839639958,29996.867139957987,18461.432139957982,6309.7046399579895,31170.929639957987,10390.384639957992,9706.177139957996,20066.82713995799,-1606.432860042005,5272.957139957994,-8730.927860042008,-4897.255360042007,-6640.95536004201,-4059.9503600420067,2793.942139957995,-3797.572860042008,6820.902139957991,6525.009639957993,1152.2321399579887,230.20963995798957,24772.967860042012,491.25000004,2392,0.0
"Columbus, OH",43072.171622761016,20707.11762276101,31371.615322761012,29325.021522761006,18652.32552276101,5265.992222761009,22861.779922761005,11590.608022761013,2999.778322761009,18437.67912276101,-5038.13977723899,3339.6642227610027,-10215.337077238994,-6174.9908772389945,-8064.357477238996,-4793.253377238994,2055.913122761005,-2886.0304772389936,8194.275922761011,6070.91622276101,3621.315422761007,-830.8553772389932,27457.149577238994,434.43555559999993,2332,186.27352410193527
"Corpus Christi, TX",58830.86786609501,32130.367866095006,42232.467866095,41951.26786609501,25478.527866095,12054.727866095005,39668.227866095,16219.147866095003,12255.187866095002,26072.107866095,-727.8121339049976,8283.427866095,-6050.932133905,-3425.8921339049994,-6485.652133904998,557.8678660950027,6070.187866095002,-3271.8921339049994,6590.047866095002,9286.507866095002,5889.787866095001,4450.107866095002,24237.892133905,366.5,2174,0.0
"Dallas, TX",51591.414662976014,24890.914662976,34993.014662976,34711.814662976,18239.074662975992,4815.274662975997,32428.774662975986,8979.694662975995,5015.734662975996,18832.654662975998,-7967.265337024004,1043.9746629759939,-13290.385337024009,-10665.345337024006,-13725.105337024004,-6681.585337024004,-1169.265337024004,-10511.345337024006,-649.4053370240035,2047.054662975996,-1349.6653370240053,-2789.345337024006,31477.34533702401,565.2246153599998,2174,194.65797802027848
"Davenport, IA",35409.375999614,20573.499099613997,30116.056599614,25712.383899613993,17444.86869961399,6475.884099613995,20231.988699613998,9575.484099613994,6514.869099613997,17967.718299614,1985.127899613999,7147.464099613997,-5956.263900386002,-1390.8181003860047,-3151.565400386004,-1677.1377003860034,5993.304099613996,4041.931599613996,8881.661599613999,9538.891599613997,6363.6315996139965,6026.821599613995,22767.980900386006,597.4399999999998,2237,0.0
"Daytona Beach, FL",49289.049243931004,23731.509243931,32758.449243930998,29677.449243930998,19222.329243931003,6913.149243930999,27197.829243931003,11109.549243931,9553.449243930994,23137.929243931,489.88924393099666,6672.7692439309985,-5648.1107560690025,-3629.3907560690013,-4281.470756069004,-1882.590756069003,3938.6092439309973,-5376.190756069002,8157.329243930999,6295.3892439309975,2608.0492439309965,1214.1292439309982,24749.390756069,409.05,2555,0.0
"Decatur, IL",49606.697681222,27920.980181222003,39798.245181222,37299.869681222,26102.765681221998,11095.373681221998,41603.625681222,15484.217681221999,12884.368181221997,27440.311181221998,2446.534181221996,11110.714181221998,-3362.813318778004,2326.942181221999,-1475.086818778007,2335.247181221996,8709.334681221997,3881.638181221995,28101.413681222002,14214.608681221996,7564.075181221997,5180.540181221997,21210.258318778004,381.75,2473,0.0
"Delray Beach, FL",46481.45799438501,20923.917994385003,29950.857994385,26869.857994385,16414.737994385006,4105.5579943850025,24390.237994385006,8301.957994385004,6745.857994384997,20330.337994385,-2317.7020056149995,3865.177994385001,-8455.702005615,-6436.982005614997,-7089.062005615,-4690.182005614999,1131.0179943850014,-8183.782005614998,5349.737994385003,3487.7979943850005,-199.54200561499962,-1593.462005614998,27556.982005615,295.0,2555,0.0
"Deltona, FL",51999.791566233005,26442.251566232997,35469.191566233,32388.191566233,21933.071566233,9623.891566233,29908.571566232997,13820.291566233003,12264.191566232996,25848.671566233,3200.631566232998,9383.511566233,-2937.368433767002,-918.6484337670007,-1570.7284337670026,828.1515662329983,6649.351566232999,-2665.448433767,10868.071566233,9006.131566232998,5318.791566232998,3924.871566233,22038.648433767,295.75,2555,0.0
"Denton, TX",55402.950845356005,28702.450845356,38804.550845356,38523.350845356,22050.610845355997,8626.810845355998,36240.31084535598,12791.230845355996,8827.270845355997,22644.190845355995,-4155.729154644003,4855.510845355995,-9478.849154644004,-6853.8091546440055,-9913.569154644005,-2870.0491546440026,2642.270845355997,-6699.8091546440055,3162.1308453559973,5858.590845355997,2461.870845355996,1022.1908453559953,27665.809154644005,316.5,2174,0.0
"Denver, CO",47721.160580008,17148.848180007997,32303.099480008008,24182.62088000801,14703.426080008001,-482.6965199919941,25834.836380007997,-354.299019991995,-2037.406819992,17254.500980008008,-7905.867819991996,-4278.860319991996,-16808.116419992002,-12211.094619992,-14741.374119991999,-9209.774619992,-4157.552619991999,-12939.748419992,-1697.7037199920017,38.230480008001905,-5581.512219991997,-6336.010719991999,35624.725419992,489.894,2367,169.39468971539978
"Des Moines, IA",32916.09169584701,18080.214795846998,27622.772295847,23219.099595847,14951.584395847,3982.599795847003,17738.704395847002,7082.199795847002,4021.584795847004,15474.433995847006,-508.15640415299276,4654.179795847005,-8449.548204152994,-3884.1024041529963,-5644.849704152995,-4170.422004152995,3500.019795847005,1548.647295847004,6388.377295847007,7045.607295847003,3870.347295847005,3533.537295847004,25261.265204153,443.33333336,2237,0.0
"Des Plaines, IL",39518.034835867,17832.317335867,29709.582335867002,27211.206835867,16014.102835866997,1006.7108358670012,31514.962835867,5395.554835867002,2795.705335866998,17351.648335866998,-7642.128664133001,1022.0513358669997,-13451.476164133,-7761.720664132998,-11563.749664133004,-7753.415664133,-1379.3281641329995,-6207.024664133,18012.750835867006,4125.945835866998,-2524.587664133,-4908.1226641329995,31298.921164132997,660.0,2473,0.0
"Detroit, MI",45773.318049139016,19888.71054913901,28803.610549139008,31511.71054913901,13887.673049139008,4685.148049139007,24752.52304913901,4806.835549139007,3721.9730491390114,19502.26054913901,-3991.476950860994,1430.5605491390052,-11280.23945086099,-7454.5394508609925,-9108.601950860992,-6144.689450860991,489.1480491390067,-6093.6019508609925,7158.723049139004,4594.435549139005,1299.0105491390061,-1777.1269508609948,28605.601950860997,358.15789468,2214,0.0
"Dothan, AL",50030.919977730984,27522.309977731,37464.909977731004,40301.789977730994,21499.809977731,10768.079977731002,27529.609977730997,13959.639977731002,9876.229977731,18645.509977730995,-216.57002226899934,8458.589977730997,-4570.750022269003,-1702.270022269,-4365.740022269005,-549.400022269001,5743.6599777309975,5726.229977731,11113.759977730997,11444.059977730998,5248.149977730998,3250.339977730997,20802.230022269003,551.25000004,2496,0.0
"Durham, NC",47285.940696257996,18750.088196258,30932.078196257997,24400.580696258,14304.335696258,2278.0331962579985,15277.003196257996,2128.1681962579974,2248.2056962580027,13923.125696257994,-8653.016803741999,72.14319625799908,-13896.884303742,-10372.561803741999,-12074.729303742,-8720.871803742,-2115.7668037420012,-7026.9793037419995,1255.4681962580034,1304.638196257998,-3937.094303742,-5903.234303742,30292.141803742,449.99999996,2165,0.0
"Edison, NJ",59570.98461445499,22590.78981445499,33498.031114455,27366.41331445499,24687.747214455,3138.151114454995,28999.93311445499,7924.0699144549935,4800.612914454992,23158.09941445499,-8874.835285545003,-2639.8819855450056,-13879.060285545005,-9327.647785545003,-11501.147785545007,-8688.535285545004,-5366.417785545003,-11962.585285545005,7469.683014454998,3823.7173144549956,-4603.847785545006,-6691.847785545004,34428.122785545005,424.976,2737,0.0
"El Paso, TX",63550.764253481015,36850.264253481,46952.364253481,46671.164253480994,30198.424253481,16774.624253481,44388.124253480986,20939.044253481003,16975.084253481,30792.004253481,3992.084253481,13003.324253480998,-1331.0357465190027,1294.0042534809982,-1765.7557465190002,5277.764253481,10790.084253481,1448.0042534809982,11309.944253481,14006.404253481001,10609.684253480998,9170.004253480998,19517.995746519,291.78846152,2174,0.0
"Elkhart, IN",38335.19404373101,22077.135743731007,30668.956443731007,30222.579543731004,17507.941043731007,7070.796743731007,27391.787343731005,9216.695743731008,9485.912043731003,21807.96374373101,1524.3136437310059,8788.254943731008,-5582.803156268994,-1179.0016562689925,-3890.7939562689935,-1004.3754562689937,5736.534943731007,529.9615437310093,12516.295843731008,9855.231543731003,7453.975143731003,4768.4615437310085,22465.596356268994,290.0,2268,0.0
"Eugene, OR",37619.41386130499,20127.323861305,31354.243861305004,30881.663861304994,15598.853861304995,6356.993861304996,27027.323861305,9168.053861304994,7677.653861305,30161.643861305,2738.313861305,7421.663861304994,-6445.436138695,-3308.3461386950044,-4852.006138695005,-2552.316138695001,3559.123861304997,-959.676138695002,8224.133861304996,6030.623861305001,2859.9738613049994,1616.5138613050005,25811.496138695,548.75000004,2000,0.0
"Everett, WA",54235.768602567005,24272.908602567,48653.568602567,37590.248602566986,20959.468602566998,5312.668602566992,31226.768602567,7431.148602566995,7278.268602566997,27282.148602567,-2710.6313974330083,8754.80860256699,-9726.871397433006,-5155.271397433007,-7599.0313974330065,-4095.7513974330072,-1788.4513974330075,-6694.391397433006,10439.608602566994,7800.088602566991,-921.8713974330093,-375.11139743300737,32937.751397433014,536.0,1955,0.0
"Fairfax, VA",53315.86001088799,21357.425010887982,34649.73251088798,23390.062510887983,21290.232510887992,-1713.4449891120096,30161.46001088799,1609.3325108879874,2946.6800108879906,10996.052510887988,-11549.31248911201,-4648.962489112015,-18445.152489112013,-14984.894989112014,-16939.15498911201,-14045.599989112006,-6134.794989112015,-9535.832489112014,-5340.394989112014,-962.7674891120114,-7082.314989112012,-8495.369989112012,35731.63498911201,575.0,2472,0.0
"Fargo, ND",44883.488337413,24843.038437412997,27702.932437413005,31368.002437413004,26242.221637412997,16943.198437413,31594.363237413,14216.234437413,11024.291237413001,24577.938037412998,8601.519237413002,12504.855637412995,-731.5407625869992,4310.397237412999,3774.224237413,5659.954237413001,10398.611237413,10121.400237413001,18412.264837413,17834.209237413004,8445.870237412997,11222.729237412996,21345.958762587,495.87499996,2130,0.0
"Flagstaff, AZ",35221.704086245,18533.589686245006,32221.970486245016,30112.434486245,14216.416886245002,1914.2616862450013,30135.30008624501,3196.5768862450022,4885.6800862450045,24012.482486245004,-2461.551113754995,4010.152886245007,-9128.938313754996,-6948.163913754997,-7744.887113754998,-5301.943113754998,1421.7320862450033,-9391.107913754997,2951.011286245004,4171.375286245002,516.0840862450059,-981.1975137549962,28138.787913755,650.0999999999998,2262,0.0
"Fort Collins, CO",52766.453236992005,22194.140836991995,37348.392136992006,29227.913536992,19748.718736992,4562.596136992004,30880.129036992,4690.993636992003,3007.885836991998,22299.793636992006,-2860.5751630079976,766.4323369920021,-11762.823763008002,-7165.801963008002,-9696.081463008002,-4164.481963008002,887.7400369919998,-7894.455763008002,3347.588936991997,5083.523136992,-536.2195630079987,-1290.7180630080002,30579.432763007997,664.99999996,2367,0.0
"Fort Lauderdale, FL",39803.28726848101,14245.747268481013,23272.687268481004,20191.687268481008,9736.567268481012,-2572.612731518988,17712.067268481012,1623.7872684810136,67.68726848100779,13652.167268481013,-8995.87273151899,-2812.9927315189893,-15133.872731518992,-13115.152731518987,-13767.232731518992,-11368.352731518991,-5547.15273151899,-14861.952731518986,-1328.4327315189873,-3190.37273151899,-6877.712731518989,-8271.632731518988,34235.15273151899,356.47058819999995,2555,0.0
"Fort Myers, FL",45737.57945781501,20180.039457815004,29206.979457815,26125.979457815,15670.859457815004,3361.6794578150043,23646.359457815004,7558.079457815005,6001.979457815,19586.459457815006,-3061.580542184998,3121.299457815003,-9199.580542184998,-7180.860542184998,-7832.940542184999,-5434.060542184998,387.13945781500297,-8927.660542184996,4605.859457815004,2743.9194578150023,-943.4205421849983,-2337.340542184997,28300.860542185,373.32,2555,0.0
"Fort Wayne, IN",37792.61526164801,21534.556961648,30126.377661648,29680.000761648003,16965.362261648002,6528.217961648002,26849.208561647996,8674.116961648004,8943.333261648,21265.384961648004,981.7348616480012,8245.676161648003,-6125.381938351999,-1721.5804383519974,-4433.372738351998,-1546.9542383519986,5193.956161648001,-12.617238351995184,11973.717061648003,9312.652761647998,6911.3963616480005,4225.882761648005,23008.175138352002,415.91142852,2268,0.0
"Fort Worth, TX",54968.899054524016,28268.399054523998,38370.499054524,38089.299054523995,21616.559054523997,8192.759054524002,35806.259054523995,12357.179054523998,8393.219054524001,22210.139054524,-4589.780945475999,4421.459054523999,-9912.900945476002,-7287.860945476001,-10347.620945476,-3304.100945475999,2208.219054524001,-7133.860945476001,2728.0790545240006,5424.539054524001,2027.8190545239997,588.1390545239992,28099.860945476,475.70571432,2174,0.0
"Fremont, CA",35495.66029628199,8596.517296281992,25292.561296281987,21203.184296281997,9833.117296281998,-8107.993703718006,27330.913296281982,-4435.0937037179965,-2449.7557037180013,14876.689296282007,-14962.553703718,-9626.993703718,-22455.333703718003,-18358.653703718,-22627.533703718,-17719.413703718,-15335.733703718,-23267.613703717998,-5169.393703718,-8395.693703718003,-16742.773703717998,-17307.753703717997,43651.893703718,600.0,2121,0.0
"Fresno, CA",53071.81004669399,26172.66704669399,42868.71104669399,38779.33404669399,27409.267046694,9468.156046693992,44907.063046693984,13141.056046693999,15126.394046693997,32452.839046694004,2613.5960466939982,7949.156046693999,-4879.183953306006,-782.5039533060009,-5051.383953306002,-143.2639533060028,2240.416046693997,-5691.4639533060035,12406.756046694,9180.456046693997,833.3760466940003,268.3960466940007,26075.743953306002,320.79200004,2121,0.0
"Garden Grove, CA",56199.028336622985,29299.885336623,45995.92933662299,41906.552336623,30536.485336622998,12595.374336622996,48034.28133662299,16268.274336623006,18253.612336623002,35580.05733662301,5740.814336623003,11076.374336623003,-1751.9656633769991,2344.7143366230052,-1924.1656633769958,2983.9543366230027,5367.634336623003,-2564.245663376998,15533.974336623003,12307.674336623,3960.594336623006,3395.6143366230067,22948.525663377,232.5,2121,0.0
"Garland, TX",55819.89629070301,29119.396290702996,39221.496290703,38940.296290703,22467.556290703,9043.756290703,36657.256290702986,13208.176290703,9244.216290703,23061.136290702998,-3738.7837092970003,5272.456290702998,-9061.903709297005,-6436.863709297002,-9496.623709296999,-2453.103709297,3059.2162907029997,-6282.863709297002,3579.0762907030003,6275.536290702999,2878.8162907029987,1439.136290702998,27248.863709297002,370.00000004,2174,0.0
"Geneva, IL",37741.588459686005,16055.870959686,27933.135959686002,25434.760459686007,14237.656459685995,-769.7355403139992,29738.516459686005,3619.1084596860023,1019.258959685998,15575.201959685995,-9418.575040314001,-754.3950403140007,-15227.922540313999,-9538.167040313998,-13340.196040314004,-9529.862040314,-3155.774540314,-7983.471040314002,16236.304459686004,2349.499459685998,-4301.034040314,-6684.569040314001,33075.367540314,357.5,2473,0.0
"Germantown, MD",51242.328060748,22681.700560748,36164.878060748,32873.840560747994,25793.728060748,1612.803060747996,16653.225560747996,8899.713060747992,5749.963060747992,21144.915560748,-7661.701939252002,67.96056074799708,-15574.614439252004,-11301.391939252004,-13554.136939252005,-10805.221939252002,-2009.8594392520026,-5409.789439251999,-14.811939252002047,3195.7355607479913,-3919.6144392520036,-4647.219439252003,34081.921939252,450.0,2479,0.0
"Glendale, CA",37738.275281879985,10839.132281879996,27535.17628187999,23445.79928188,12075.732281880002,-5865.378718120002,29573.528281879986,-2192.4787181199936,-207.14071811999747,17119.30428188001,-12719.938718119995,-7384.378718119995,-20212.71871812,-16116.038718119995,-20384.91871812,-15476.798718119995,-13093.118718119995,-21024.99871812,-2926.7787181199965,-6153.0787181199985,-14500.158718119996,-15065.138718119993,41409.27871812,722.8,2121,0.0
"Grand Forks, ND",42308.488337812996,22268.038437812997,25127.932437813008,28793.002437813007,23667.221637813,14368.198437813004,29019.363237813,11641.234437813004,8449.291237813002,22002.938037812997,6026.519237813005,9929.855637812998,-3306.5407621869963,1735.397237813002,1199.2242378130031,3084.954237813003,7823.611237813002,7546.400237813003,15837.264837813,15259.209237813007,5870.870237813,8647.729237813,23920.958762187,769.87500004,2130,0.0
"Grand Junction, CO",61239.226913622,30666.914513621992,45821.165813622014,37700.687213622004,28221.492413622003,13035.369813622,39352.902713622,13163.767313622,11480.659513621997,30772.567313622003,5612.198513621999,9239.206013621999,-3290.050086378007,1306.9717136219951,-1223.3077863780056,4308.291713621995,9360.513713621996,578.3179136219952,11820.362613621995,13556.296813621997,7936.554113621998,7182.0556136219975,22106.659086378004,417.3,2367,0.0
"Grand Rapids, MI",44025.925464249005,18141.317964249003,27056.217964249005,29764.317964249003,12140.280464249005,2937.755464249003,23005.130464249003,3059.442964249003,1974.5804642490075,17754.867964249006,-5738.869535750997,-316.8320357509984,-13027.632035750994,-9201.932035750997,-10855.994535750997,-7892.082035750995,-1258.2445357509966,-7840.994535750997,5411.330464249,2847.0429642490017,-448.3820357509976,-3524.5195357509983,30352.994535751,480.16666664,2214,0.0
"Grapevine, TX",56072.11861524201,29371.618615242,39473.718615242,39192.518615242,22719.778615241998,9295.978615241998,36909.478615241984,13460.398615241997,9496.438615241996,23313.358615242003,-3486.5613847580025,5524.6786152419945,-8809.681384758005,-6184.641384758004,-9244.401384758004,-2200.8813847580027,3311.438615241997,-6030.641384758004,3831.2986152419985,6527.758615241997,3131.038615241996,1691.3586152419955,26996.641384758004,152.5,2174,0.0
"Green Bay, WI",45309.420287175,19932.411787175006,29015.581687175,26426.128687175,18530.090287175,6443.585287175002,22906.337587175003,10435.359787175004,5971.601887175002,22655.282587175006,1792.2553871750024,6333.121087174997,-7141.515312824995,-2924.3829128249963,-4463.3588128249985,-1268.5331128249966,5146.4545871750015,2178.838287175004,12700.593187175007,9011.519287175004,6214.665687175003,4414.971087175003,23876.685712825,470.0,2384,0.0
"Greenville, SC",31855.116222695015,11729.446222694998,20062.716222695,24014.576222695006,12320.876222695006,-1424.723777305,10268.266222694998,3673.0762226950033,905.796222695004,12364.896222694995,-8567.963777304998,-843.8037773049983,-13901.003777304995,-11417.543777305,-13201.163777304995,-10134.503777304997,-3510.3237773049987,-3034.853777304997,706.5362226950018,-22.473777305000116,-793.5837773050008,-5909.543777305,29749.463777305,429.0,2342,0.0
"Gulfport, MS",29190.94260382001,20344.802603820008,24827.732603820008,30896.22260382001,17934.342603820016,8723.182603820012,22823.15260382001,8607.13260382001,9132.37260382001,17386.112603820005,-2043.5773961799896,3599.592603820009,-5544.51739617999,-4417.377396179993,-4989.247396179992,-3196.447396179989,3181.272603820009,6297.9226038200095,9004.552603820011,7361.022603820009,4222.92260382001,1542.022603820009,21656.47739617999,350.0,2383,0.0
"Hanover, NH",40751.83749891601,15445.207498915996,26553.25749891599,24809.647498916,15219.637498915996,-835.9825010840033,20994.667498915995,2460.697498915993,-1579.1225010840024,19019.287498916,-5155.832501084005,1800.047498915999,-14633.602501084002,-9399.622501084004,-12003.332501084004,-9664.392501084003,-2722.272501084004,-5070.342501084,215.2174989159976,2611.077498915991,-2500.662501084007,-6043.932501084004,33375.002501083996,1192.8000000000004,2668,0.0
"Harrisburg, PA",57583.17223902201,27723.805739022,37404.761739022004,33435.719639022005,26582.621839022006,7960.268939022005,34930.573139022,18119.278339022003,10210.416839022004,24948.398539022,2695.531939022003,9545.136439021999,-5281.0936609779965,-248.99116097799927,-2878.423960977998,100.9204390220002,7038.002839022003,2389.7839390220033,12623.162839022005,10966.460539022,8706.877339022001,5290.143439022002,23165.653060978,375.0,2321,0.0
"Hartford, CT",54623.145809354006,24276.370809354,32624.27580935401,29730.955809353993,24522.870809354,8271.270809354002,28889.890809354005,13417.320809354003,7256.995809354002,25998.97080935401,-3020.3741906459977,7584.695809354005,-11396.734190646,-5317.814190646001,-9151.584190646,-5556.854190645999,-864.5841906459973,-7401.114190646,9598.745809354,7443.320809353998,-1848.6241906459986,-1671.6241906459982,31436.254190646,505.00000004,2483,0.0
